System,Chains,Sweeps,Accuracy
Hakaru,26,13,1.000000
Hakaru,26,14,1.000000
Hakaru,26,15,1.000000
Hakaru,27,1,0.992000
Hakaru,27,2,1.000000
Hakaru,27,3,1.000000
Hakaru,27,4,1.000000
Hakaru,27,5,1.000000
Hakaru,27,6,1.000000
Hakaru,27,7,1.000000
Hakaru,27,8,1.000000
Hakaru,27,9,1.000000
Hakaru,27,10,1.000000
Hakaru,27,11,1.000000
Hakaru,27,12,1.000000
Hakaru,27,13,1.000000
Hakaru,27,14,1.000000
Hakaru,27,15,1.000000
Hakaru,28,1,0.900000
Hakaru,28,2,1.000000
Hakaru,28,3,1.000000
Hakaru,28,4,1.000000
Hakaru,28,5,1.000000
Hakaru,28,6,1.000000
Hakaru,28,7,1.000000
Hakaru,28,8,1.000000
Hakaru,28,9,1.000000
Hakaru,28,10,1.000000
Hakaru,28,11,1.000000
Hakaru,28,12,1.000000
Hakaru,28,13,1.000000
Hakaru,28,14,1.000000
Hakaru,28,15,1.000000
Hakaru,29,1,0.692000
Hakaru,29,2,0.664000
Hakaru,29,3,0.836000
Hakaru,29,4,0.964000
Hakaru,29,5,0.996000
Hakaru,29,6,0.996000
Hakaru,29,7,0.996000
Hakaru,29,8,0.996000
Hakaru,29,9,0.996000
Hakaru,29,10,0.996000
Hakaru,29,11,0.996000
Hakaru,29,12,0.996000
Hakaru,29,13,0.996000
Hakaru,29,14,0.996000
Hakaru,29,15,0.996000
Hakaru,30,1,0.920000
Hakaru,30,2,1.000000
Hakaru,30,3,1.000000
Hakaru,30,4,1.000000
Hakaru,30,5,1.000000
Hakaru,30,6,1.000000
Hakaru,30,7,1.000000
Hakaru,30,8,1.000000
Hakaru,30,9,1.000000
Hakaru,30,10,1.000000
Hakaru,30,11,1.000000
Hakaru,30,12,0.996000
Hakaru,30,13,1.000000
Hakaru,30,14,1.000000
Hakaru,30,15,1.000000
Hakaru,31,1,0.760000
Hakaru,31,2,0.936000
Hakaru,31,3,1.000000
Hakaru,31,4,1.000000
Hakaru,31,5,1.000000
Hakaru,31,6,1.000000
Hakaru,31,7,1.000000
Hakaru,31,8,1.000000
Hakaru,31,9,1.000000
Hakaru,31,10,1.000000
Hakaru,31,11,1.000000
Hakaru,31,12,1.000000
